epoch,accuracy,loss,val_accuracy,val_loss
0,0.37448105216026306,1.3292157649993896,0.4322766661643982,1.2801892757415771
1,0.638527512550354,0.9959067106246948,0.6455331444740295,0.9595344066619873
2,0.7904788255691528,0.5917818546295166,0.7031700015068054,0.8108826279640198
3,0.8419595956802368,0.4269463121891022,0.6887608170509338,0.7968754172325134
4,0.8884583711624146,0.32895395159721375,0.6945244669914246,0.8410620093345642
5,0.9078328013420105,0.2677256464958191,0.7031700015068054,0.8801093697547913
6,0.9277608394622803,0.22164447605609894,0.6945244669914246,0.909732460975647
7,0.9438139796257019,0.18023310601711273,0.6916426420211792,0.9574347734451294
8,0.9540547728538513,0.1530579775571823,0.6916426420211792,1.0398976802825928
9,0.9609742760658264,0.13551956415176392,0.6858789920806885,1.052067518234253
10,0.9648491740226746,0.1169232726097107,0.6945244669914246,1.1344406604766846
11,0.9659562706947327,0.1103837862610817,0.6714697480201721,1.2221113443374634
12,0.9687240719795227,0.10181116312742233,0.6829971075057983,1.2304081916809082
13,0.9701079726219177,0.09451409429311752,0.6829971075057983,1.2336302995681763
14,0.9745364189147949,0.09111190587282181,0.6858789920806885,1.2727229595184326
15,0.973706066608429,0.08694418519735336,0.6714697480201721,1.3636038303375244
16,0.9739828109741211,0.08363501727581024,0.6858789920806885,1.3800222873687744
17,0.9745364189147949,0.07850602269172668,0.6858789920806885,1.3881720304489136
18,0.976473867893219,0.07715671509504318,0.6743515729904175,1.4219958782196045
19,0.975089967250824,0.0735911875963211,0.6974063515663147,1.446539044380188
20,0.975643515586853,0.0714258924126625,0.6887608170509338,1.417201280593872
21,0.976473867893219,0.06662673503160477,0.6858789920806885,1.4862048625946045
22,0.9778577089309692,0.06922204047441483,0.6916426420211792,1.4583088159561157
23,0.9786880612373352,0.06197473034262657,0.6772334575653076,1.500175952911377
24,0.9781345129013062,0.06439652293920517,0.6829971075057983,1.5650228261947632
